indicator,release_time(utc+8),actual,forecast,previous,updated_at
PPI,2025-05-15 20:30,-0.5%,0.2%,,2026-03-19 20:55:27+08:00
PPI,2025-04-11 20:30,-0.4%,0.2%,0.1%,2026-03-19 20:55:27+08:00
PPI,2025-03-13 21:30,,0.3%,0.6%,2026-03-19 20:55:27+08:00
PPI,2025-02-13 21:30,0.4%,0.3%,0.5%,2026-03-19 20:55:27+08:00
PPI,2025-01-14 21:30,0.2%,0.3%,0.4%,2026-03-19 20:55:27+08:00
PPI,2024-12-12 21:30,0.4%,0.2%,0.3%,2026-03-19 20:55:27+08:00
PPI,2024-11-14 21:30,0.2%,0.2%,0.1%,2026-03-19 20:55:27+08:00
PPI,2024-10-11 21:30,,0.1%,0.2%,2026-03-19 20:55:27+08:00
PPI,2024-09-12 20:30,0.2%,0.1%,,2026-03-19 20:55:27+08:00
PPI,2024-08-13 20:30,0.1%,0.2%,0.2%,2026-03-19 20:55:27+08:00
PPI,2024-07-12 20:30,0.2%,0.1%,,2026-03-19 20:55:27+08:00
PPI,2024-06-13 20:30,-0.2%,0.1%,0.5%,2026-03-19 20:55:27+08:00
PPI,2024-05-14 20:30,0.5%,0.3%,-0.1%,2026-03-19 20:55:27+08:00
PPI,2024-04-11 20:30,0.2%,0.3%,0.6%,2026-03-19 20:55:27+08:00
PPI,2024-03-14 21:30,0.6%,0.3%,0.3%,2026-03-19 20:55:27+08:00
PPI,2024-02-16 21:30,0.3%,0.1%,-0.1%,2026-03-19 20:55:27+08:00
PPI,2024-02-14 21:30,-0.2%,,-0.1%,2026-03-19 20:55:27+08:00
PPI,2024-01-12 21:30,-0.1%,0.1%,-0.1%,2026-03-19 20:55:27+08:00
FED_Rate,2026-03-19 02:00,3.75%,3.75%,3.75%,2026-03-19 20:55:27+08:00
FED_Rate,2026-01-29 03:00,3.75%,3.75%,3.75%,2026-03-19 20:55:27+08:00
FED_Rate,2025-12-11 03:00,3.75%,3.75%,4.00%,2026-03-19 20:55:27+08:00
